
154 (False) iMBC(종가:5610) 11699545573 - 12121725929 > 129030000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
155 (False) 가비아(종가:13300) 19812323610 - 35974742254 > 180024597200 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
156 (False) 가온미디어(종가:7180) 240259108200 - 164076082034 > 108233423740 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
157 (False) 가온전선(종가:22500) 342920019470 - 324893702280 > 93607807500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
158 (False) 감마누(종가:2090) 14012444500 - 16574986499 > 56229096660 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
159 (False) 강남제비스코(종가:20750) 145309724634 - 79113376876 > 134875000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
160 (False) 강스템바이오텍(종가:7720) 34783862901 - 13987551375 > 191739061520 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
161 (False) 강원(종가:2500) 26818158746 - 19820625730 > 45387277500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
162 (False) 강원랜드(종가:24350) 1400352065752 - 452664048372 > 5209451175000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
163 (False) 갤럭시아머니트리(종가:4010) 200045874037 - 158056168078 > 157311650380 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
164 (False) 갤럭시아에스엠(종가:1455) 12248381036 - 7097954608 > 40084732020 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
165 (False) 게임빌(종가:37200) 11729796278 - 117556164865 > 245341142400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
166 (False) 경남바이오파마(종가:3155) 15584403521 - 30861516239 > 63503227930 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
167 (False) 경남스틸(종가:1900) 93534158572 - 62223083656 > 47500000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
168 (False) 경남제약헬스케어(종가:3320) 15119497834 - 5884170388 > 37836250520 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
169 (False) 경농(종가:13350) 178374706944 - 133589142993 > 289584862500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
170 (False) 경동나비엔(종가:49950) 298827081895 - 284544992475 > 679556263500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
171 (False) 경동도시가스(종가:18650) 212653370388 - 232601804700 > 109949321900 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
172 (False) 경동인베스트(종가:29750) 35919179698 - 1648998917 > 70359434250 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
173 (False) 경동제약(종가:10250) 137106571896 - 35605196657 > 315379851500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
174 (False) 경방(종가:13050) 200361728224 - 558362840659 > 357769273500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
175 (False) 경보제약(종가:15300) 152149227677 - 105598905065 > 365774958000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
176 (False) 경인양행(종가:7100) 170526503231 - 197895710870 > 293062191500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
177 (False) 경창산업(종가:2855) 121631543769 - 384351596383 > 102263259275 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
178 (False) 계양전기(종가:4470) 138062086060 - 81715153858 > 145722000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
179 (False) 고려신용정보(종가:5790) 17345707078 - 25109455199 > 82797000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
180 (False) 고려아연(종가:407000) 3683251216695 - 661484500477 > 7680090000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
181 (False) 고려제강(종가:14900) 208109084806 - 269946873460 > 298000000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
182 (False) 고려제약(종가:11550) 60361427283 - 14020307639 > 127050000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
183 (False) 골드퍼시픽(종가:1615) 33775277084 - 34776522765 > 106908550675 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
184 (False) 골든센츄리(종가:302) 1065677865 - 165235475 > 47951560000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
185 (False) 골프존(종가:68300) 94306909220 - 108842010619 > 428610844500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
186 (False) 골프존뉴딘홀딩스(종가:5440) 33363327655 - 93325538003 > 233032289920 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
